ranker,beam_width,split,count,solved_rate,mean_plan_len,mean_seconds,mean_expansions
goal_count,1,heldout,245,0.13877551020408163,34.481632653061226,0.0008533513268493876,34.481632653061226
goal_count,1,train,729,0.1755829903978052,30.522633744855966,0.0005718572272833523,30.522633744855966
goal_count,4,heldout,245,0.3142857142857143,31.089795918367347,0.003031342384424441,120.29387755102042
goal_count,4,train,729,0.4252400548696845,25.957475994513032,0.0016729632681248446,99.0877914951989
goal_count,8,heldout,245,0.5020408163265306,27.624489795918368,0.005556623956036507,207.71836734693878
goal_count,8,train,729,0.5775034293552812,23.733882030178325,0.00303076897538299,174.46776406035664
random,1,heldout,245,0.11428571428571428,35.4,0.0006856976191000063,35.4
random,1,train,729,0.1111111111111111,30.310013717421125,0.00035589254002594,30.310013717421125
random,4,heldout,245,0.27755102040816326,34.118367346938776,0.002533314477804364,132.97142857142856
random,4,train,729,0.3045267489711934,29.37997256515775,0.0012910381347242493,112.91906721536351
random,8,heldout,245,0.363265306122449,33.13469387755102,0.004914217362446445,253.66122448979593
random,8,train,729,0.39780521262002744,28.2880658436214,0.0025113917611263416,212.4238683127572
teacher_frequency,1,heldout,245,0.0,35.82857142857143,0.0006913165457318632,35.82857142857143
teacher_frequency,1,train,729,0.012345679012345678,30.0960219478738,0.0009829971986594105,30.0960219478738
teacher_frequency,4,heldout,245,0.08571428571428572,35.22857142857143,0.0025390683521269537,137.18367346938774
teacher_frequency,4,train,729,0.07407407407407407,30.263374485596707,0.0037613448390509774,116.35665294924554
teacher_frequency,8,heldout,245,0.1306122448979592,34.885714285714286,0.004951250023797762,266.869387755102
teacher_frequency,8,train,729,0.18930041152263374,29.631001371742112,0.0076994784492539405,222.41975308641975
