condition,count,success_rate,mean_prefix_len,mean_completion_len,mean_total_plan_len,mean_seconds
empty_prefix,263,0.2965779467680608,0.0,7.717948717948718,7.717948717948718,0.002924487162947995
llm_prefix,263,0.3193916349809886,0.9049429657794676,7.357142857142857,8.369047619047619,0.002911702223377083
random_prefix,263,0.30798479087452474,0.9049429657794676,7.469135802469136,8.444444444444445,0.002923745090963439
teacher_prefix,263,0.30038022813688214,0.9049429657794676,6.848101265822785,7.860759493670886,0.002946442637606719
