ranker,split,count,repair_rate,mean_prefix_len,mean_seconds
goal_count,heldout,1521,0.25443786982248523,1.1111111111111112,0.005324415290050997
goal_count,train,84,0.40476190476190477,0.19047619047619047,0.002366245059030397
random,heldout,1521,0.18277449046679817,1.1111111111111112,0.004514567389132738
random,train,84,0.23809523809523808,0.19047619047619047,0.00189294647480849
teacher_frequency,heldout,1521,0.02827087442472058,1.1111111111111112,0.004464567511879462
teacher_frequency,train,84,0.047619047619047616,0.19047619047619047,0.005015333779045336
